"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"03/07/2023","915.25","955","906.5","949","3.7158","3.937","6,331,552"
"03/06/2023","906.75","917","878.75","915","-0.3539","-0.1328","4,675,792"
"03/03/2023","960.75","966","915.5","918.25","-6.1334","-5.9123","4,408,480"
"03/02/2023","1029.5","1032.375","969.5","978.25","-2.3459","-2.1248","5,065,732"
"03/01/2023","981.25","1012","974.5","1001.75","2.4022","2.6234","5,418,444"
"02/28/2023","980.5","983.75","952.5","978.25","0.5137","0.7348","4,363,412"
"02/27/2023","961.5","979.5","947.3","973.25","-2.1613","-1.9402","4,452,324"
"02/24/2023","995.75","1011.75","983.875","994.75","5.1255","5.3466","6,220,072"
"02/23/2023","935","988.75","933.25","946.25","-2.5489","-2.3278","5,422,028"
"02/22/2023","966.75","987.5","949.75","971","-0.0772","0.1439","5,649,232"
"02/21/2023","943","973.75","930","971.75","7.1094","7.3305","5,021,060"
"02/17/2023","908.25","934.5","900.65","907.25","2.2254","2.4465","6,006,872"
"02/16/2023","879.625","889.5","846.25","887.5","5.7177","5.9388","6,364,144"
"02/15/2023","875.375","880.9975","838.5","839.5","-2.2701","-2.049","4,893,004"
"02/14/2023","892.75","909.75","850.5","859","-2.1083","-1.8872","8,257,436"
"02/13/2023","909","920.48","872.5","877.5","-4.8007","-4.5795","4,350,812"
"02/10/2023","924.25","944","905.25","921.75","2.0482","2.2693","6,376,936"
"02/09/2023","841.625","916.75","840","903.25","2.7588","2.9799","6,190,860"
"02/08/2023","845.75","885","837.7525","879","5.3325","5.5536","5,787,380"
"02/07/2023","891","901","824.5","834.5","-6.1832","-5.9621","7,799,436"
"02/06/2023","890.125","901","869.75","889.5","2.6247","2.8459","5,101,212"
"02/03/2023","876.75","880","818","866.75","5.0288","5.2499","8,500,320"
"02/02/2023","861.25","868.7","805","825.25","-10.3963","-10.1752","8,653,668"
"02/01/2023","986.25","1007","895.7525","921","-6.4024","-6.1813","7,747,832"
"01/31/2023","1029.25","1030.75","982.5","984","-4.466","-4.2449","3,964,236"
"01/30/2023","1003.875","1033","989.25","1030","6.0489","6.27","4,807,064"
"01/27/2023","1014.25","1015.25","950","971.25","-2.8507","-2.6296","5,048,092"
"01/26/2023","1022.75","1053.125","998","999.75","-5.7284","-5.5073","4,899,540"
"01/25/2023","1104","1132.25","1053.75","1060.5","0.6883","0.9094","5,441,508"
"01/24/2023","1065","1070.5","1040.25","1053.25","0.6931","0.9142","3,832,610"
"01/23/2023","1111","1119.75","1031.5025","1046","-6.5863","-6.3652","4,821,448"
"01/20/2023","1199","1213.2475","1116.75","1119.75","-8.2548","-8.0337","4,341,696"
"01/19/2023","1206.5","1236.25","1191.75","1220.5","3.1263","3.3474","4,484,904"
"01/18/2023","1120","1186.4375","1101.25","1183.5","3.7703","3.9914","4,911,464"
"01/17/2023","1149","1163","1123","1140.5","-0.4148","-0.1937","3,384,779"
"01/13/2023","1201.25","1205.875","1142.25","1145.25","-1.9897","-1.7686","3,974,484"
"01/12/2023","1181.75","1237.2475","1155.625","1168.5","-1.5171","-1.296","6,435,924"
"01/11/2023","1236","1247","1185","1186.5","-5.1369","-4.9158","3,468,504"
"01/10/2023","1298.25","1305.5","1249.25","1250.75","-2.4376","-2.2165","3,882,073"
"01/09/2023","1278.5","1291.75","1213.25","1282","-2.1374","-1.9163","4,145,676"
"01/06/2023","1398","1446","1288.25","1310","-7.9571","-7.736","5,119,524"
"01/05/2023","1387.25","1429.75","1384.5","1423.25","4.6315","4.8526","4,053,192"
"01/04/2023","1346","1409.75","1332.75","1360.25","-1.3418","-1.1207","4,712,432"
"01/03/2023","1314.75","1414.14","1292.0175","1378.75","2.1107","2.3318","3,427,470"
"12/30/2022","1391.5","1411.5","1349","1350.25","0.2785","0.4996","3,435,281"
"12/29/2022","1406","1418.4275","1331.75","1346.5","-7.2499","-7.0288","3,311,864"
"12/28/2022","1403.625","1457.25","1366.25","1451.75","4.0495","4.2706","4,204,552"
"12/27/2022","1348.625","1404.235","1346.5","1395.25","4.3178","4.5389","3,660,578"
"12/23/2022","1368.5","1397","1328.5","1337.5","-0.4651","-0.244","4,367,988"
"12/22/2022","1298","1406.375","1295.75","1343.75","6.8588","7.08","4,599,324"
"12/21/2022","1298.25","1311.25","1237.5","1257.5","-4.2452","-4.0241","3,752,870"
"12/20/2022","1328","1351.125","1287.5","1313.25","0.4206","0.6417","3,907,416"
"12/19/2022","1254","1327.25","1252.125","1307.75","4.1202","4.3413","4,041,028"
"12/16/2022","1230.25","1278","1209.5","1256","2.993","3.2141","4,727,296"
"12/15/2022","1157.875","1235","1149.5","1219.5","9.7907","10.0118","5,325,876"
"12/14/2022","1090","1145.25","1052.5","1110.75","2.515","2.7361","6,285,132"
"12/13/2022","989","1116","987","1083.5","-3.1941","-2.973","7,182,212"
"12/12/2022","1160.25","1173.715","1118.25","1119.25","-3.6997","-3.4786","3,560,494"
"12/09/2022","1153","1168.25","1119","1162.25","1.9518","2.1729","4,945,192"
"12/08/2022","1164.25","1191.2475","1127.5","1140","-3.4716","-3.2505","4,458,776"
"12/07/2022","1181.75","1202.25","1155","1181","1.4169","1.638","5,289,168"
"12/06/2022","1099.5","1182.2275","1097.5","1164.5","6.2258","6.4469","4,323,328"
"12/05/2022","1067.25","1113","1053.5","1096.25","4.9294","5.1505","3,837,854"
"12/02/2022","1085.75","1088.2","1034.25","1044.75","1.3091","1.5302","4,835,984"
"12/01/2022","1031.5","1061","1011.75","1031.25","-0.3142","-0.0931","3,732,662"
"11/30/2022","1194.75","1205.75","1032.9975","1034.5","-13.6477","-13.4266","6,031,996"
"11/29/2022","1168","1215.125","1163","1198","2.3276","2.5487","3,754,162"
"11/28/2022","1145.25","1181.5","1120.5","1170.75","4.4613","4.6824","3,406,862"
"11/25/2022","1117.25","1126.25","1109.25","1120.75","2.0255","2.2466","1,491,807"
"11/23/2022","1131.75","1134.25","1090.5","1098.5","-3.045","-2.8239","3,996,692"
"11/22/2022","1172.75","1200","1129","1133","-4.0644","-3.8432","3,201,349"
"11/21/2022","1163.75","1191.75","1148.75","1181","3.0766","3.2977","3,922,452"
"11/18/2022","1108.625","1175.75","1107.5","1145.75","0.0874","0.3085","4,449,128"
"11/17/2022","1191.75","1193.75","1127.29","1144.75","0.7481","0.9692","5,314,072"
"11/16/2022","1114.25","1146.125","1110.5","1136.25","4.076","4.2971","5,197,948"
"11/15/2022","1057","1132.25","1044.75","1091.75","-4.0641","-3.843","7,460,240"
"11/14/2022","1133.5","1150","1094.5","1138","2.5918","2.8129","5,073,992"
"11/11/2022","1176.5","1193.4625","1100.5","1109.25","-5.7562","-5.5351","5,596,412"
"11/10/2022","1290.625","1327.75","1170","1177","-22.0142","-21.7931","7,252,696"
"11/09/2022","1439.75","1513.5","1426.75","1509.25","7.039","7.2601","4,922,032"
