"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"04/17/2025","23.045","23.1447","22.175","22.58","-0.287","-0.494","202,191,600"
"04/16/2025","23.415","24.005","21.58","22.645","-9.038","-9.2449","269,148,800"
"04/15/2025","24.98","25.6046","24.595","24.895","0.3831","0.1761","209,340,200"
"04/14/2025","25.95","26.026","24.0374","24.8","2.0996","1.8927","294,861,400"
"04/11/2025","22.835","24.535","22.31","24.29","5.2883","5.0813","358,585,800"
"04/10/2025","24.34","24.67","20.785","23.07","-12.298","-12.505","563,385,400"
"04/09/2025","19.38","26.705","19.365","26.305","35.2442","35.0373","713,864,000"
"04/08/2025","22.695","23.405","18.55","19.45","-5.697","-5.9039","502,295,400"
"04/07/2025","18.375","23.415","17.5","20.625","0.3894","0.1825","791,455,200"
"04/04/2025","22.995","23.39","20.515","20.545","-18.3101","-18.5171","516,053,400"
"04/03/2025","26.215","26.915","25.055","25.15","-16.0687","-16.2757","280,231,400"
"04/02/2025","28.095","30.6","28.045","29.965","2.2347","2.0278","246,174,800"
"04/01/2025","28.34","29.495","27.81","29.31","2.3037","2.0967","194,196,340"
"03/31/2025","27.36","28.814","26.52","28.65","-0.0698","-0.2767","213,709,000"
"03/28/2025","30.77","30.905","28.485","28.67","-7.9615","-8.1684","207,264,200"
"03/27/2025","31.3","32.115","30.875","31.15","-1.704","-1.9109","144,736,080"
"03/26/2025","33.32","33.495","31.38","31.69","-5.8387","-6.0456","159,135,380"
"03/25/2025","33.24","33.685","33.045","33.655","1.7844","1.5774","111,139,400"
"03/24/2025","32.53","33.265","32.4075","33.065","6.3525","6.1456","126,823,000"
"03/21/2025","29.765","31.2075","29.5363","31.09","0.9416","0.7346","160,981,960"
"03/20/2025","30.33","31.815","30.185","30.8","-1.0283","-1.2352","176,818,120"
"03/19/2025","30.34","31.955","29.97","31.12","3.8892","3.6822","185,186,320"
"03/18/2025","30.885","30.89","29.505","29.955","-5.0404","-5.2473","175,652,460"
"03/17/2025","30.94","32.1399","30.575","31.545","1.9389","1.732","180,300,740"
"03/14/2025","29.855","31.115","29.75","30.945","7.0947","6.8877","198,217,080"
"03/13/2025","30.4","30.425","28.52","28.895","-5.4638","-5.6707","242,454,600"
"03/12/2025","30.97","31.33","29.58","30.565","3.4174","3.2104","283,837,200"
"03/11/2025","29.7","30.925","28.6853","29.555","-1.1704","-1.3773","278,978,600"
"03/10/2025","32","32.095","28.94","29.905","-11.2743","-11.4812","312,271,600"
"03/07/2025","32.78","34.005","31.445","33.705","2.0745","1.8676","270,354,600"
"03/06/2025","34.195","35.2481","32.5858","33.02","-8.2905","-8.4974","245,645,400"
"03/05/2025","34.775","36.3425","33.745","36.005","3.8955","3.6886","201,266,600"
"03/04/2025","34.38","36.385","33.005","34.655","-1.0987","-1.3057","261,673,800"
"03/03/2025","38.185","38.525","34.2175","35.04","-6.4602","-6.6671","183,891,680"
"02/28/2025","35.73","37.585","35.0375","37.46","4.5784","4.3715","186,357,940"
"02/27/2025","39.86","40.085","35.74","35.82","-8.2949","-8.5019","206,751,000"
"02/26/2025","39.29","40.2249","38.345","39.06","0.6442","0.4372","126,351,460"
"02/25/2025","40.165","40.19","37.89","38.81","-3.8166","-4.0235","151,194,460"
"02/24/2025","42.25","42.525","40.25","40.35","-3.5957","-3.8027","106,467,460"
"02/21/2025","44.885","44.895","41.735","41.855","-6.2598","-6.4667","118,627,220"
"02/20/2025","45.025","45.115","43.445","44.65","-1.2168","-1.4237","80,266,060"
"02/19/2025","45","45.56","44.46","45.2","0.0111","-0.1959","68,515,780"
"02/18/2025","45.315","45.375","44.375","45.195","0.6234","0.4165","68,825,160"
"02/14/2025","44.405","45.09","44.3","44.915","1.1713","0.9644","76,057,480"
"02/13/2025","42.99","44.4775","42.79","44.395","4.2136","4.0067","92,920,160"
"02/12/2025","41.14","42.8025","41.05","42.6","0.1999","-0.007","96,986,600"
"02/11/2025","42.035","42.995","42.005","42.515","-0.7123","-0.9192","62,602,800"
"02/10/2025","42.365","43.1","42.25","42.82","3.5175","3.3105","65,594,120"
"02/07/2025","43.13","43.595","41.1756","41.365","-3.8135","-4.0204","110,870,480"
"02/06/2025","42.48","43.065","42.0974","43.005","1.4987","1.2918","76,431,020"
"02/05/2025","41.175","42.41","40.88","42.37","1.303","1.0961","79,694,860"
"02/04/2025","40.455","41.969","40.365","41.825","3.6298","3.4229","84,634,540"
"02/03/2025","39.265","40.995","38.67","40.36","-2.4178","-2.6247","153,256,980"
"01/31/2025","42.46","43.545","41.09","41.36","-0.5411","-0.748","118,669,260"
"01/30/2025","41.735","42.2925","40.43","41.585","1.254","1.047","115,171,020"
"01/29/2025","41.455","41.49","40.13","41.07","-0.6171","-0.824","118,481,100"
"01/28/2025","39.79","41.5849","39","41.325","4.4352","4.2283","101,033,400"
"01/27/2025","38.79","40.515","38.59","39.57","-8.7723","-8.9793","161,821,680"
"01/24/2025","44.215","44.415","43.005","43.375","-1.7999","-2.0068","72,479,260"
"01/23/2025","43.27","44.19","43.135","44.17","0.615","0.4081","60,480,960"
"01/22/2025","43.42","44.455","43.355","43.9","3.8807","3.6738","86,265,320"
"01/21/2025","42.225","42.575","41.1653","42.26","1.6599","1.4529","83,451,800"
"01/17/2025","41.845","41.97","40.92","41.57","4.935","4.7281","87,352,160"
"01/16/2025","41.005","41.025","39.6","39.615","-2.0401","-2.247","93,055,440"
"01/15/2025","39.655","40.7375","39.3","40.44","6.7582","6.5513","106,919,160"
"01/14/2025","38.74","39.03","37.0954","37.88","-0.3551","-0.562","125,270,900"
"01/13/2025","37.025","38.1","36.67","38.015","-1.0413","-1.2482","113,382,020"
"01/10/2025","39.4","39.41","37.615","38.415","-4.7719","-4.9789","145,651,660"
"01/08/2025","40.28","40.705","39.22","40.34","0.0744","-0.1325","96,021,240"
"01/07/2025","42.86","42.945","39.8525","40.31","-5.3867","-5.5936","111,020,960"
"01/06/2025","42.485","43.425","42.015","42.605","3.4102","3.2033","92,050,000"
"01/03/2025","39.995","41.455","39.81","41.2","4.7946","4.5877","92,431,560"
"01/02/2025","40.27","40.8025","38.2655","39.315","-0.6319","-0.8388","141,370,660"
"12/31/2024","40.9","41.0799","39.34","39.565","-2.6212","-2.8281","105,177,680"
"12/30/2024","40.6","41.53","39.7062","40.63","-4.0161","-4.223","102,844,060"
"12/27/2024","43.185","43.2925","41.14","42.33","-4.068","-4.2749","102,138,980"
"12/26/2024","43.81","44.54","43.2955","44.125","-0.2148","-0.4218","59,604,800"
"12/24/2024","42.975","44.24","42.82","44.22","3.9737","3.7667","48,139,540"
"12/23/2024","41.725","42.62","40.915","42.53","2.4449","2.238","83,645,740"
"12/20/2024","39.53","42.93","39.25","41.515","2.5948","2.3879","145,240,940"
"12/19/2024","42.135","42.2653","40.375","40.465","-1.4131","-1.62","113,317,580"
"12/18/2024","45.825","46.2837","40.645","41.045","-10.8105","-11.0174","134,849,160"
"12/17/2024","46.165","46.4549","45.585","46.02","-1.3399","-1.5468","69,168,160"
"12/16/2024","45.36","46.8946","45.335","46.645","4.3512","4.1443","69,967,680"
"12/13/2024","44.71","45.385","43.925","44.7","2.1481","1.9412","79,663,700"
"12/12/2024","44.065","44.385","43.6409","43.76","-1.9823","-2.1892","66,348,300"
"12/11/2024","43.44","44.81","43.34","44.645","5.3445","5.1376","74,897,900"
"12/10/2024","43.125","43.56","42.0261","42.38","-1.0853","-1.2922","71,541,560"
"12/09/2024","43.625","43.8312","42.54","42.845","-2.3364","-2.5434","69,577,500"
"12/06/2024","42.89","43.9325","42.86","43.87","2.5719","2.365","62,740,680"
"12/05/2024","43.125","43.32","42.67","42.77","-0.8232","-1.0301","54,020,400"
"12/04/2024","42.435","43.185","42.2574","43.125","3.6534","3.4465","69,992,560"
"12/03/2024","40.9","41.665","40.765","41.605","0.8851","0.6781","84,810,880"
