"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"07/14/2022","282.99","287.56","279.8","286.67","0.3571","0.284","63,741,840"
"07/13/2022","280.6","288.05","280.02","285.65","-0.2061","-0.2792","73,939,420"
"07/12/2022","290.32","292.28","284.61","286.24","-0.9687","-1.0418","55,797,090"
"07/11/2022","292.88","293.11","288.14","289.04","-2.1364","-2.2095","55,273,920"
"07/08/2022","292.08","296.75","291.12","295.35","0.1254","0.0524","59,895,480"
"07/07/2022","289.63","295.7","289.63","294.98","2.1399","2.0668","56,620,110"
"07/06/2022","287.35","290.95","285.59","288.8","0.6412","0.5681","63,194,720"
"07/05/2022","278.31","287.08","276.7501","286.96","1.712","1.6389","61,829,270"
"07/01/2022","278.95","282.53","277.03","282.13","0.6601","0.587","56,675,110"
"06/30/2022","280.75","283.9441","275.78","280.28","-1.2403","-1.3134","79,313,580"
"06/29/2022","283.4","285.34","280.84","283.8","0.0917","0.0186","57,302,730"
"06/28/2022","293","295.65","283.35","283.54","-3.0467","-3.1197","61,867,060"
"06/27/2022","296","296.5799","291.29","292.45","-0.7332","-0.8062","54,151,450"
"06/24/2022","287.74","295.04","287.5001","294.61","3.4264","3.3533","58,422,260"
"06/23/2022","283.21","285.72","280.31","284.85","1.4893","1.4162","57,457,800"
"06/22/2022","278.52","285.18","277.91","280.67","-0.1459","-0.2189","67,472,920"
"06/21/2022","278.75","283.45","278.64","281.08","2.3263","2.2532","51,633,740"
"06/17/2022","272.18","277.19","270.5119","274.69","1.216","1.1429","82,703,400"
"06/16/2022","275.59","276.06","269.28","271.39","-4.0347","-4.1077","81,910,300"
"06/15/2022","279.415","286.83","276.61","282.8","2.4972","2.4241","86,051,430"
"06/14/2022","277.66","278.66","273.3375","275.91","0.1815","0.1085","64,697,520"
"06/13/2022","279.75","282.34","274.53","275.41","-4.6496","-4.7227","94,442,010"
"06/10/2022","293.65","294.87","288.384","288.84","-3.5271","-3.6001","85,963,460"
"06/09/2022","305.91","309.05","299.23","299.4","-2.6785","-2.7515","55,900,480"
"06/08/2022","309.05","311.72","306.77","307.64","-0.7197","-0.7927","38,342,060"
"06/07/2022","303.81","310.67","302.6886","309.87","0.8626","0.7895","44,900,290"
"06/06/2022","310.75","312.35","305.62","307.22","0.3331","0.26","51,785,010"
"06/03/2022","309.03","310.47","304.92","306.2","-2.6019","-2.675","60,914,680"
"06/02/2022","304.85","314.56","303.4001","314.38","2.7386","2.6655","59,291,330"
"06/01/2022","310.47","312.65","303.73","306","-0.7396","-0.8127","65,341,650"
"05/31/2022","309.07","311.33","304.33","308.28","-0.2653","-0.3384","60,968,330"
"05/27/2022","302.54","309.25","302.42","309.1","3.264","3.1909","66,985,600"
"05/26/2022","290.44","300.92","290.15","299.33","2.7707","2.6977","59,462,230"
"05/25/2022","285.71","293.39","285.5","291.26","1.3995","1.3265","67,144,550"
"05/24/2022","288.125","288.86","282.25","287.24","-2.1262","-2.1993","73,491,120"
"05/23/2022","289.75","293.87","287.29","293.48","1.6627","1.5897","63,648,400"
"05/20/2022","293.13","293.8","280.21","288.68","-0.3108","-0.3839","91,764,170"
"05/19/2022","289.29","294.39","287.58","289.58","-0.5358","-0.6089","79,920,710"
"05/18/2022","301.54","302.25","289.85","291.14","-4.909","-4.9821","79,477,110"
"05/17/2022","304.45","306.56","300.55","306.17","2.5901","2.5171","62,715,290"
"05/16/2022","300.15","302.26","297.13","298.44","-1.1592","-1.2322","59,190,430"
"05/13/2022","295.72","302.999","294.0825","301.94","3.706","3.6329","83,684,930"
"05/12/2022","287.45","295.75","284.94","291.15","-0.2364","-0.3095","120,910,900"
"05/11/2022","298.44","304.09","290.95","291.84","-2.9658","-3.0389","140,326,100"
"05/10/2022","304.51","305.76","296.57","300.76","1.2149","1.1418","124,124,600"
"05/09/2022","303.48","309.3487","295.72","297.15","-3.9127","-3.9858","113,387,300"
"05/06/2022","310.95","315.09","305.105","309.25","-1.1981","-1.2712","139,572,800"
"05/05/2022","325.17","325.25","309.62","313","-5.0364","-5.1095","154,607,400"
"05/04/2022","319.31","330.29","313.891","329.6","3.3812","3.3081","116,083,400"
"05/03/2022","318.5","321.17","315.98","318.82","0.1068","0.0337","78,185,530"
"05/02/2022","312.83","318.72","309.645","318.48","1.6696","1.5965","115,511,800"
"04/29/2022","323.7","327.225","312.6","313.25","-4.4999","-4.5729","91,977,860"
"04/28/2022","321.85","329.89","317.52","328.01","3.5516","3.4785","99,449,960"
"04/27/2022","317.24","322.88","315","316.76","-0.1198","-0.1929","111,204,200"
"04/26/2022","327.47","327.66","316.855","317.14","-3.7745","-3.8476","105,819,600"
"04/25/2022","323.73","329.9","322.43","329.58","1.2846","1.2115","101,755,900"
"04/22/2022","334.31","335.56","324.96","325.4","-2.6186","-2.6917","82,562,150"
"04/21/2022","345.19","347.87","333.2","334.15","-2.0691","-2.1422","75,801,010"
"04/20/2022","347.09","347.56","339.96","341.21","-1.4584","-1.5315","65,500,020"
"04/19/2022","338.03","346.85","336.98","346.26","2.2351","2.162","56,515,680"
"04/18/2022","337.35","341.04","335.791","338.69","0.0768","0.0038","58,560,560"
"04/14/2022","346.44","346.97","338.21","338.43","-2.2867","-2.3598","73,519,370"
"04/13/2022","339.8","347.43","339.06","346.35","2.0327","1.9596","61,367,760"
"04/12/2022","345.76","347.69","338.035","339.45","-0.4224","-0.4955","72,790,220"
"04/11/2022","344.81","345.75","340.535","340.89","-2.3657","-2.4388","66,107,400"
"04/08/2022","352.32","353.09","348.5","349.15","-1.3979","-1.471","61,956,090"
"04/07/2022","352.24","356.35","348.69","354.1","0.2378","0.1647","63,777,370"
"04/06/2022","355.65","356.78","350.56","353.26","-2.1711","-2.2442","90,077,070"
"04/05/2022","367.81","368.54","359.93","361.1","-2.2204","-2.2935","62,738,660"
"04/04/2022","362.71","369.31","362.44","369.3","2.0589","1.9858","45,950,170"
"04/01/2022","362.81","363.61","358.59","361.85","-0.1903","-0.2634","54,527,760"
"03/31/2022","367.24","367.6","361.68","362.54","-1.2395","-1.3125","67,011,410"
"03/30/2022","369.275","370.98","365.57","367.09","-1.1046","-1.1776","68,757,710"
"03/29/2022","368.9","371.83","366.06","371.19","1.721","1.6479","68,072,960"
"03/28/2022","359.34","365.01","358.07","364.91","1.5472","1.4742","56,833,870"
"03/25/2022","359.59","360.67","354.9438","359.35","-0.0834","-0.1565","57,584,160"
"03/24/2022","353.8","359.7","351.5939","359.65","2.2227","2.1496","53,555,250"
"03/23/2022","354.01","357.66","351.77","351.83","-1.4371","-1.5102","70,615,460"
"03/22/2022","350.59","357.85","350.2","356.96","1.9653","1.8922","63,345,930"
"03/21/2022","350.2","352.48","345.575","350.08","-0.4011","-0.4742","73,799,070"
"03/18/2022","342.74","351.79","341.55","351.49","2.0468","1.9737","85,446,350"
"03/17/2022","338.37","344.5","337.0406","344.44","1.2106","1.1376","67,809,950"
"03/16/2022","332.17","340.44","328.401","340.32","3.7087","3.6356","105,243,000"
"03/15/2022","320.88","328.95","319.23","328.15","3.1367","3.0636","76,470,990"
"03/14/2022","323.13","326.59","317.45","318.17","-1.9205","-1.9935","79,802,610"
"03/11/2022","334.32","334.64","323.9","324.4","-2.0738","-2.1469","66,228,430"
"03/10/2022","330.82","332.51","326.71","331.27","-1.1105","-1.1835","69,362,710"
"03/09/2022","331.75","336.38","329.09","334.99","3.5998","3.5267","64,723,370"
"03/08/2022","324.05","333.21","319.94","323.35","-0.4648","-0.5379","116,153,900"
"03/07/2022","337.29","338.48","324.65","324.86","-3.6881","-3.7612","89,933,790"
"03/04/2022","339.84","341.31","334.92","337.3","-1.4492","-1.5223","77,009,760"
"03/03/2022","349.93","350.04","340.35","342.26","-1.4285","-1.5016","71,089,390"
"03/02/2022","343.08","348.59","340.24","347.22","1.6779","1.6049","70,609,020"
"03/01/2022","345.75","348.078","338.9","341.49","-1.5311","-1.6042","67,407,000"
"02/28/2022","342.51","348.54","341.32","346.8","0.2979","0.2248","77,515,540"
"02/25/2022","341.31","345.98","337.39","345.77","1.5507","1.4776","78,842,090"
"02/24/2022","318.84","341.04","318.26","340.49","3.3605","3.2874","130,614,100"
"02/23/2022","341.32","342.183","329.1","329.42","-2.5615","-2.6346","86,215,370"
"02/22/2022","338.49","344.04","334.35","338.08","-1.0044","-1.0774","85,967,100"
"02/18/2022","346.41","346.81","339.14","341.51","-1.1405","-1.2136","80,001,510"
"02/17/2022","352.74","353.46","345.02","345.45","-2.9744","-3.0475","61,801,350"
"02/16/2022","353.82","357.0896","350.71","356.04","-0.0253","-0.0983","58,947,090"
"02/15/2022","352.91","356.37","351.82","356.13","2.4864","2.4133","55,390,810"
"02/14/2022","346.49","350.98","343.89","347.49","0.1239","0.0508","80,254,440"
"02/11/2022","358.43","360.07","345.8","347.06","-3.1722","-3.2452","101,569,100"
"02/10/2022","359.52","366.4885","356.54","358.43","-2.2632","-2.3363","112,468,500"
"02/09/2022","363.76","366.81","362.12","366.73","2.1191","2.046","55,766,420"
"02/08/2022","353.96","360.24","352.8","359.12","1.1235","1.0505","64,720,900"
"02/07/2022","358.62","361.05","353.84","355.13","-0.8044","-0.8775","58,198,090"
"02/04/2022","354.08","361.4","351.97","358.01","1.2615","1.1884","86,318,300"
"02/03/2022","358.53","361.93","352.46","353.55","-4.0544","-4.1275","95,384,770"
